Compatibility list MAME style
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|romname   | Pl  | Rot | Control Type (for one player)  | Bios | Test | Boot | Game | Notes                                               |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|beachspi  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|clubkcyc  |  1  |  H  |                                |      | No   | Yes  | No   | Cycraft not emulated                                |
|initd     |  1  |  H  |                                | Jap  | Yes  | Yes  | Yes  |                                                     |
|initdo    |  1  |  H  |                                | Jap  | Yes  | Yes  | Yes  |                                                     |
|initdexp  |  1  |  H  |                                | Exp  | Yes  | Yes  | Yes  |                                                     |
|initdexpo |  1  |  H  |                                | Exp  | Yes  | Yes  | Yes  |                                                     |
|initdv2e  |  1  |  H  |                                | Exp  | Yes  | Yes  | Yes  |                                                     |
|initdv2j  |  1  |  H  |                                | Jap  | Yes  | Yes  | Yes  |                                                     |
|initdv2jo |  1  |  H  |                                | Jap  | Yes  | Yes  | Yes  |                                                     |
|initdv3e  |  1  |  H  |                                | Exp  | Yes  | Yes  | Yes  |                                                     |
|initdv3j  |  1  |  H  |                                | Jap  | Yes  | Yes  | Yes  |                                                     |
|initdv3jb |  1  |  H  |                                | Jap  | Yes  | Yes  | Yes  |                                                     |
|inidv3cy  |  1  |  H  |                                |      | No   | Yes  | No   | Cycraft not emulated                                |
|inidv3ca  |  1  |  H  |                                |      | No   | Yes  | No   | Cycraft not emulated                                |
|vf4       |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|vf4b      |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|vf4o      |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|vf4evo    |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|vf4evoa   |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|vf4tuned  |  2  |  H  |                                |      | Yes  | Yes  | Yes  | need dimm board 3.17                                |
|vf4tuneda |  2  |  H  |                                |      | Yes  | Yes  | Yes  | need dimm board 3.17                                |
|vf4tunedd |  2  |  H  |                                |      | Yes  | Yes  | Yes  | need dimm board 3.17                                |
|vstrik3   |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
| Atomiswave system                                                                                                                       |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|anmlbskt  |  2  |  V  |                                |      | Yes  | Yes  | Yes  |                                                     |
|basschal  |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|claychal  |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|demofist  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|dirtypig  |  4  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|dolphin   |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|fotns     |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|ftspeed   |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|ggisuka   |  4  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|ggx15     |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|kofnw     |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|kofnwj    |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
